"In","Age","Nat.","Position","Pos","Market value","Left","Left","Fee","Team","team_logo"
"João PedroJoão Pedro",23,NA,"Centre-Forward","CF","€50.00m",NA,"Brighton","€70.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Jamie GittensJ. Gittens",20,NA,"Left Winger","LW","€50.00m",NA,"Dortmund","€56.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Alejandro GarnachoA. Garnacho",21,NA,"Left Winger","LW","€45.00m",NA,"Man Utd","€46.20m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"EstêvãoEstêvão",18,NA,"Right Winger","RW","€60.00m",NA,"Palmeiras","€45.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Jorrel HatoJ. Hato",19,NA,"Left-Back","LB","€35.00m",NA,"Ajax","€44.18m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Liam DelapL. Delap",22,NA,"Centre-Forward","CF","€40.00m",NA,"Ipswich","€35.50m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Dário EssugoD. Essugo",20,NA,"Defensive Midfield","DM","€20.00m",NA,"Sporting","€22.27m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Mamadou SarrM. Sarr",19,NA,"Centre-Back","CB","€20.00m",NA,"R. Strasbourg","€14.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Kendry PáezK. Páez",18,NA,"Attacking Midfield","AM","€10.00m",NA,"Independiente","€10.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Facundo BuonanotteF. Buonanotte",20,NA,"Attacking Midfield","AM","€20.00m",NA,"Brighton","Loan fee:€2.30m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"João FélixJ. Félix",25,NA,"Second Striker","SS","€20.00m",NA,"AC Milan","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Carney ChukwuemekaC. Chukwuemeka",21,NA,"Central Midfield","CM","€18.00m",NA,"Dortmund","End of loan06.07.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Mike PendersM. Penders",19,NA,"Goalkeeper","GK","€10.00m",NA,"Genk","End of loan01.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Kepa ArrizabalagaK. Arrizabalaga",30,NA,"Goalkeeper","GK","€10.00m",NA,"Bournemouth","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Djordje PetrovicD. Petrovic",25,NA,"Goalkeeper","GK","€20.00m",NA,"R. Strasbourg","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Marc GuiuMarc Guiu",19,NA,"Centre-Forward","CF","€8.00m",NA,"Sunderland","End of loan01.09.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Raheem SterlingR. Sterling",30,NA,"Right Winger","RW","€10.00m",NA,"Arsenal","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Armando BrojaA. Broja",23,NA,"Centre-Forward","CF","€12.00m",NA,"Everton","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Caleb WileyC. Wiley",21,NA,"Left-Back","LB","€8.00m",NA,"Watford","End of loan31.05.2026","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Ben ChilwellB. Chilwell",28,NA,"Left-Back","LB","€15.00m",NA,"Crystal Palace","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Axel DisasiA. Disasi",27,NA,"Centre-Back","CB","€22.00m",NA,"Aston Villa","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Deivid WashingtonDeivid Washington",20,NA,"Centre-Forward","CF","€8.00m",NA,"Santos","End of loan01.09.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Renato VeigaR. Veiga",21,NA,"Centre-Back","CB","€18.00m",NA,"Juventus","End of loan10.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Bashir HumphreysB. Humphreys",22,NA,"Left-Back","LB","€7.00m",NA,"Burnley","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Lesley UgochukwuL. Ugochukwu",21,NA,"Defensive Midfield","DM","€18.00m",NA,"Southampton","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Alfie GilchristA. Gilchrist",21,NA,"Right-Back","RB","€8.00m",NA,"Sheff Utd","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Yéremy PinoY. Pino",22,NA,"Right Winger","RW","€30.00m",NA,"Villarreal","€30.00m","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Jaydee CanvotJ. Canvot",19,NA,"Centre-Back","CB","€4.00m",NA,"Toulouse","€23.00m","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Borna SosaB. Sosa",27,NA,"Left-Back","LB","€4.50m",NA,"Ajax","€2.30m","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Walter BenítezW. Benítez",32,NA,"Goalkeeper","GK","€7.50m",NA,"PSV","free transfer","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Hindolo MustaphaH. Mustapha",18,NA,"Attacking Midfield","AM","-",NA,"Palace U21","-","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Kaden RodneyK. Rodney",19,NA,"Defensive Midfield","DM","€200k",NA,"Palace U21","-","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Rio CardinesR. Cardines",19,NA,"Left-Back","LB","-",NA,"Palace U21","-","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Christantus UcheC. Uche",22,NA,"Centre-Forward","CF","€15.00m",NA,"Getafe","loan transfer","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Joe WhitworthJ. Whitworth",22,NA,"Goalkeeper","GK","€1.70m",NA,"Exeter City","End of loan31.05.2026","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Jesurun Rak-SakyiJ. Rak-Sakyi",22,NA,"Right Winger","RW","€6.00m",NA,"Sheff Utd","End of loan30.06.2025","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"David OzohD. Ozoh",21,NA,"Defensive Midfield","DM","€700k",NA,"Derby","End of loan31.05.2026","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Jeffrey SchluppJ. Schlupp",32,NA,"Left Midfield","LM","€3.00m",NA,"Celtic","End of loan30.06.2025","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Rob HoldingR. Holding",29,NA,"Centre-Back","CB","€3.50m",NA,"Sheff Utd","End of loan30.06.2025","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Luke PlangeL. Plange",22,NA,"Centre-Forward","CF","€500k",NA,"Motherwell FC","End of loan30.06.2025","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Odsonne ÉdouardO. Édouard",27,NA,"Centre-Forward","CF","€8.00m",NA,"Leicester","End of loan30.06.2025","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Naouirou AhamadaN. Ahamada",23,NA,"Central Midfield","CM","€3.50m",NA,"Stade Rennais","End of loan30.06.2025","Crystal Palace","https://tmssl.akamaized.net//images/wappen/homepageSmall/873.png?lm=1457723287"
"Tyler DiblingT. Dibling",19,NA,"Right Winger","RW","€25.00m",NA,"Southampton","€40.50m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Thierno BarryT. Barry",22,NA,"Centre-Forward","CF","€20.00m",NA,"Villarreal","€30.00m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Kiernan Dewsbury-HallK. Dewsbury-Hall",26,NA,"Central Midfield","CM","€20.00m",NA,"Chelsea","€28.65m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Carlos AlcarazC. Alcaraz",22,NA,"Central Midfield","CM","€14.00m",NA,"Flamengo","€15.00m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Adam AznouA. Aznou",19,NA,"Left-Back","LB","€4.00m",NA,"Bayern Munich","€9.00m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Mark TraversM. Travers",26,NA,"Goalkeeper","GK","€4.00m",NA,"Bournemouth","€4.60m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Merlin RöhlM. Röhl",23,NA,"Attacking Midfield","AM","€12.00m",NA,"Freiburg","Loan fee:€2.00m","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Tom KingTom King",30,NA,"Goalkeeper","GK","€200k",NA,"Wolves","?","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Jack GrealishJ. Grealish",29,NA,"Left Winger","LW","€28.00m",NA,"Man City","loan transfer","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Tyler OnyangoT. Onyango",22,NA,"Central Midfield","CM","€300k",NA,"Everton U21","-","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Isaac HeathI. Heath",20,NA,"Left Winger","LW","-",NA,"Everton U21","-","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Harry TyrerH. Tyrer",23,NA,"Goalkeeper","GK","€400k",NA,"Blackpool","End of loan30.06.2025","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Tyler OnyangoT. Onyango",23,NA,"Central Midfield","CM","€300k",NA,"Stockport","End of loan31.05.2026","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Isaac HeathI. Heath",21,NA,"Left Winger","LW","-",NA,"Accrington","End of loan31.05.2026","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Neal MaupayN. Maupay",28,NA,"Centre-Forward","CF","€8.00m",NA,"Marseille","End of loan30.06.2025","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Billy CrellinB. Crellin",25,NA,"Goalkeeper","GK","€125k",NA,"Accrington","End of loan30.06.2025","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Mason HolgateM. Holgate",28,NA,"Centre-Back","CB","€4.00m",NA,"West Brom","End of loan30.06.2025","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"Harrison ArmstrongH. Armstrong",18,NA,"Central Midfield","CM","€800k",NA,"Derby","End of loan30.06.2025","Everton","https://tmssl.akamaized.net//images/wappen/homepageSmall/29.png?lm=1445949846"
"KevinKevin",22,NA,"Left Winger","LW","€12.00m",NA,"Shakhtar D.","€40.00m","Fulham","https://tmssl.akamaized.net//images/wappen/homepageSmall/931.png?lm=1556831687"
"Jonah Kusi-AsareJ. Kusi-Asare",18,NA,"Centre-Forward","CF","€2.50m",NA,"Bayern Munich","Loan fee:€4.00m","Fulham","https://tmssl.akamaized.net//images/wappen/homepageSmall/931.png?lm=1556831687"
"Benjamin LecomteB. Lecomte",34,NA,"Goalkeeper","GK","€1.50m",NA,"Montpellier","€500k","Fulham","https://tmssl.akamaized.net//images/wappen/homepageSmall/931.png?lm=1556831687"
"Samuel ChukwuezeS. Chukwueze",26,NA,"Right Winger","RW","€10.00m",NA,"AC Milan","loan transfer","Fulham","https://tmssl.akamaized.net//images/wappen/homepageSmall/931.png?lm=1556831687"
"Luke HarrisL. Harris",20,NA,"Attacking Midfield","AM","€1.00m",NA,"Birmingham","End of loan30.06.2025","Fulham","https://tmssl.akamaized.net//images/wappen/homepageSmall/931.png?lm=1556831687"
"Anton StachA. Stach",26,NA,"Defensive Midfield","DM","€14.00m",NA,"Hoffenheim","€20.00m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Noah OkaforN. Okafor",25,NA,"Left Winger","LW","€13.00m",NA,"AC Milan","€19.00m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Jaka BijolJ. Bijol",26,NA,"Centre-Back","CB","€18.00m",NA,"Udinese","€18.00m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Lucas PerriL. Perri",27,NA,"Goalkeeper","GK","€10.00m",NA,"Lyon","€16.00m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Sean LongstaffS. Longstaff",27,NA,"Central Midfield","CM","€20.00m",NA,"Newcastle","€13.80m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Gabriel GudmundssonG. Gudmundsson",26,NA,"Left-Back","LB","€7.00m",NA,"Lille","€11.60m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"James JustinJ. Justin",27,NA,"Right-Back","RB","€13.00m",NA,"Leicester","€9.30m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Sebastiaan BornauwS. Bornauw",26,NA,"Centre-Back","CB","€6.00m",NA,"Wolfsburg","€6.00m","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Dominic Calvert-LewinD. Calvert-Lewin",28,NA,"Centre-Forward","CF","€16.00m",NA,"Everton","free transfer","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Lukas NmechaL. Nmecha",26,NA,"Centre-Forward","CF","€3.00m",NA,"Wolfsburg","free transfer","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Rasmus KristensenR. Kristensen",27,NA,"Right-Back","RB","€14.00m",NA,"Frankfurt","End of loan30.06.2025","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Sam ChambersS. Chambers",17,NA,"Attacking Midfield","AM","€200k",NA,"Leeds U21","-","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Charlie CrewC. Crew",19,NA,"Defensive Midfield","DM","€150k",NA,"Doncaster","End of loan31.05.2026","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Sam GreenwoodS. Greenwood",23,NA,"Attacking Midfield","AM","€4.50m",NA,"Preston","End of loan30.06.2025","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Joe GelhardtJ. Gelhardt",23,NA,"Centre-Forward","CF","€3.00m",NA,"Hull City","End of loan30.06.2025","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Jack HarrisonJ. Harrison",28,NA,"Left Winger","LW","€14.00m",NA,"Everton","End of loan30.06.2025","Leeds United","https://tmssl.akamaized.net//images/wappen/homepageSmall/399.png?lm=1645652224"
"Alexander IsakA. Isak",25,NA,"Centre-Forward","CF","€120.00m",NA,"Newcastle","€145.00m","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Florian WirtzF. Wirtz",22,NA,"Attacking Midfield","AM","€140.00m",NA,"Leverkusen","€125.00m","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Hugo EkitikéH. Ekitiké",23,NA,"Centre-Forward","CF","€75.00m",NA,"Frankfurt","€95.00m","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Milos KerkezM. Kerkez",21,NA,"Left-Back","LB","€45.00m",NA,"Bournemouth","€46.90m","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Jeremie FrimpongJ. Frimpong",24,NA,"Right-Back","RB","€50.00m",NA,"Leverkusen","€40.00m","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Giovanni LeoniG. Leoni",18,NA,"Centre-Back","CB","€18.00m",NA,"Parma","€31.00m","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Freddie WoodmanF. Woodman",28,NA,"Goalkeeper","GK","€3.50m",NA,"Preston","free transfer","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Rio NgumohaR. Ngumoha",16,NA,"Left Winger","LW","-",NA,"Liverpool U18","-","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Trey NyoniT. Nyoni",18,NA,"Central Midfield","CM","€4.50m",NA,"Liverpool U21","-","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Harvey DaviesH. Davies",22,NA,"Goalkeeper","GK","€500k",NA,"Crawley Town","End of loan31.05.2026","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Rhys WilliamsR. Williams",24,NA,"Centre-Back","CB","€700k",NA,"Morecambe FC","End of loan30.06.2025","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Stefan BajceticS. Bajcetic",20,NA,"Defensive Midfield","DM","€9.00m",NA,"UD Las Palmas","End of loan30.06.2025","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Ben DoakBen Doak",19,NA,"Right Winger","RW","€14.00m",NA,"Middlesbrough","End of loan30.06.2025","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Nat PhillipsN. Phillips",28,NA,"Centre-Back","CB","€3.00m",NA,"Derby","End of loan30.06.2025","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Giorgi MamardashviliG. Mamardashvili",24,NA,"Goalkeeper","GK","€30.00m",NA,"Valencia","End of loan30.06.2025","Liverpool","https://tmssl.akamaized.net//images/wappen/homepageSmall/31.png?lm=1727873452"
"Tijjani ReijndersT. Reijnders",26,NA,"Central Midfield","CM","€50.00m",NA,"AC Milan","€55.00m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Rayan Aït-NouriR. Aït-Nouri",24,NA,"Left-Back","LB","€35.00m",NA,"Wolves","€36.80m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Rayan CherkiR. Cherki",21,NA,"Right Winger","RW","€45.00m",NA,"Lyon","€36.50m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"James TraffordJ. Trafford",22,NA,"Goalkeeper","GK","€22.00m",NA,"Burnley","€31.20m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Gianluigi DonnarummaG. Donnarumma",26,NA,"Goalkeeper","GK","€40.00m",NA,"PSG","€30.00m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Sverre NypanS. Nypan",18,NA,"Central Midfield","CM","€15.00m",NA,"Rosenborg","€15.00m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Marcus BettinelliM. Bettinelli",33,NA,"Goalkeeper","GK","€600k",NA,"Chelsea","€2.40m","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Jack GrealishJ. Grealish",30,NA,"Left Winger","LW","€28.00m",NA,"Everton","End of loan30.06.2026","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Sverre NypanS. Nypan",19,NA,"Central Midfield","CM","€15.00m",NA,"Middlesbrough","End of loan31.05.2026","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Juma BahJuma Bah",19,NA,"Centre-Back","CB","€6.00m",NA,"Lens","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Kyle WalkerK. Walker",35,NA,"Right-Back","RB","€4.00m",NA,"AC Milan","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Josh Wilson-EsbrandJ. Wilson-Esbrand",22,NA,"Left-Back","LB","€4.00m",NA,"Stoke City","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Issa KaboréI. Kaboré",24,NA,"Right-Back","RB","€4.00m",NA,"Werder Bremen","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Máximo PerroneM. Perrone",22,NA,"Defensive Midfield","DM","€12.00m",NA,"Como","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Kalvin PhillipsK. Phillips",29,NA,"Defensive Midfield","DM","€12.00m",NA,"Ipswich","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Yan CoutoYan Couto",23,NA,"Right-Back","RB","€20.00m",NA,"Dortmund","End of loan30.06.2025","Manchester City","https://tmssl.akamaized.net//images/wappen/homepageSmall/281.png?lm=1467356331"
"Benjamin SeskoB. Sesko",22,NA,"Centre-Forward","CF","€70.00m",NA,"Leipzig","€76.50m","Manchester United","https://tmssl.akamaized.net//images/wappen/homepageSmall/985.png?lm=1457975903"
"Bryan MbeumoB. Mbeumo",25,NA,"Right Winger","RW","€55.00m",NA,"Brentford","€75.00m","Manchester United","https://tmssl.akamaized.net//images/wappen/homepageSmall/985.png?lm=1457975903"
"Matheus CunhaM. Cunha",26,NA,"Second Striker","SS","€60.00m",NA,"Wolves","€74.20m","Manchester United","https://tmssl.akamaized.net//images/wappen/homepageSmall/985.png?lm=1457975903"
